1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
97	 광성 	 스팀 	 F03 	 0006 					 PT 	3209	설비	F030006-PT3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			97
98	 성진산업 	 압공 	 F03 	 0007 					 XV 	3123	관제점	F030007-XV3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			98
99	 성진산업 	 압공 	 F03 	 0007 					 HS 	3123	설비	F030007-HS3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			99
100	 성진산업 	 압공 	 F03 	 0007 					 FT 	3123	설비	F030007-FT3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			100
101	 성진산업 	 압공 	 F03 	 0007 					 FI 	3123	관제점	F030007-FI3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			101
102	 성진산업 	 압공 	 F03 	 0007 					 FI 	3123	관제점	F030007-FI3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			102
103	 성진산업 	 압공 	 F03 	 0007 					 PI 	3123	관제점	F030007-PI3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			103
104	 성진산업 	 압공 	 F03 	 0007 					 PI 	3123	관제점	F030007-PI3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			104
105	 성진산업 	 압공 	 F03 	 0007 					 PT 	3123	설비	F030007-PT3123	 PID-VUP-308 	 25A 	 AIR 	3156	 A2 	 N 	성진산업	 압공 		 aaa 			105
106	 성진산업 	 스팀 	 F03 	 0007 					 XV 	3208	관제점	F030007-XV3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			106
